listening_hours,skip_ratio,playlist_created,days_since_login,premium_days,liked_songs,podcast_usage,social_shares,churn
15.17884245234373,0.21610148469705306,4,43,840,201,0,2,0
18.4282177340819,0.03224524385488013,8,37,730,207,0,5,0
9.231580863192583,0.2321333451038753,10,29,352,178,1,1,0
0.0,0.4746840701683244,10,42,913,210,1,5,1
11.473420750611178,0.12393065693044532,6,9,237,193,1,3,0
8.85216119329441,0.677596407482416,6,52,238,198,1,0,1
6.049024448856602,0.12671442586535522,11,30,491,226,1,5,1
17.584737379731386,0.09824510581769963,4,1,947,187,1,0,0
10.70734414177032,0.45809116121003474,4,58,49,214,1,6,1
13.059856574706282,0.4027301891430874,9,35,627,193,0,4,0
22.861088759469,0.3100256972835211,10,53,518,196,1,7,0
4.967023666968567,0.7190315001850769,5,40,46,206,0,3,1
13.565942972295007,0.13420227480795302,7,10,720,209,0,3,0
12.90227947899828,0.2417817384250298,3,23,420,198,0,2,1
12.483063644776205,0.1324706247883405,8,26,351,184,1,0,0
11.839960560685537,0.19309828254845637,6,42,847,206,1,1,0
8.396705906136122,0.40474165218862473,8,25,218,169,0,5,1
1.0306078535138923,0.46969293425303504,5,19,984,209,0,1,1
9.844790694816352,0.06342953177737555,8,30,842,195,0,3,1
3.9160265294231245,0.6494280803141931,6,34,342,205,0,2,1
15.153891291253213,0.4636730596194806,8,43,708,201,1,2,0
14.41857959484837,0.12346680942103906,6,2,896,196,0,1,0
11.679517454670279,0.26731173469428765,6,26,892,192,1,2,1
9.2154366685046,0.10512271189453469,9,16,618,197,0,4,0
22.69435614930972,0.46797240156253306,8,51,431,182,1,3,0
7.7610721469793305,0.15841457127257239,6,42,746,211,0,3,0
8.391279662170927,0.5346865686110459,11,10,679,213,1,6,0
5.373574008105049,0.259016705184183,14,15,889,199,1,3,0
6.965990409231953,0.28017104185465463,9,10,566,198,0,5,1
14.485689945851082,0.11599712612881587,10,29,827,188,1,6,0
0.6074615059140172,0.3460395829117338,8,48,606,191,0,3,0
8.286069192912077,0.5144558228593057,7,38,244,179,1,1,0
8.67162610954544,0.14642667067131523,9,43,575,230,0,3,0
2.930588612263117,0.15453196402887168,7,47,291,194,1,0,1
0.0,0.35601610483720625,11,34,778,200,0,2,1
11.208717401836951,0.08297428871322449,6,42,680,181,1,2,1
5.87442082459341,0.12332534386437233,6,42,383,216,1,3,0
12.980271796835785,0.4961063744585564,10,35,469,204,0,8,0
14.822594772924711,0.3299372944182748,8,9,583,206,0,4,0
6.537101958899067,0.19247077183619016,8,1,966,203,0,3,0
9.495736382072398,0.6193628176585693,9,0,296,191,1,6,0
14.665702314007673,0.24285822479518523,8,38,85,179,1,2,0
7.4126652634083365,0.181129170238931,6,20,21,171,0,1,0
20.768576119354705,0.317893257530931,12,19,840,212,0,3,0
18.133577749386184,0.1659267824030019,3,20,284,203,0,4,0
2.140716170121612,0.14328019376561396,7,27,86,215,1,0,1
9.927674565311573,0.2359718005531131,10,30,86,191,1,5,0
17.081604692027483,0.028977522980630364,10,13,295,186,0,3,0
10.319265652262699,0.08082609225619719,5,42,783,188,0,1,0
13.838744217525681,0.28011978054621955,10,26,430,200,0,5,1
18.11334817220046,0.20457012763640697,5,0,353,186,1,2,0
18.683237320626617,0.6689203299381571,9,32,227,204,1,4,1
11.440031846973078,0.24155773903311994,6,3,702,198,1,2,0
15.25481938248463,0.29979350848773195,4,54,411,205,1,2,1
10.0887870146131,0.10977875969207827,10,59,607,236,0,3,0
15.933808252921114,0.27973810470004545,10,33,1,188,1,1,0
8.421425732050023,0.13029255035880244,6,45,252,213,0,3,0
19.30304347753831,0.29411486118000413,15,17,878,205,1,4,0
7.355523804718789,0.29572306902746204,4,22,717,234,1,1,1
21.82507752671694,0.21442748661133573,11,34,997,195,1,3,0
3.0372016736207215,0.21737277411473863,4,33,300,198,0,3,1
14.344744281384315,0.7177116435787311,6,53,882,186,0,4,1
4.428298195515323,0.15812086747394352,13,24,482,189,1,4,0
6.72641493779971,0.4638550343255209,9,6,439,203,0,4,0
13.47812366745054,0.44169149691895193,12,0,691,187,1,2,0
12.652879666500068,0.3005611375089963,12,22,555,208,0,5,0
14.062126866348747,0.2839078535783568,9,5,318,209,0,1,0
14.323920612879142,0.35136175617395654,8,6,14,216,0,5,1
23.28634209550147,0.5493733932388295,9,15,244,183,0,2,0
7.438462720339473,0.4264270865995567,11,11,445,192,1,2,0
11.252858290758287,0.44467165907402734,6,3,43,208,1,1,0
6.2326828279813125,0.10807186315691272,5,13,12,196,1,1,1
16.766950341160147,0.15625951771765334,11,43,230,208,1,5,0
8.871115051038753,0.6304271799891391,8,28,26,196,1,5,1
18.24623806847339,0.22178144286910442,6,6,851,196,1,6,0
6.6904252310079855,0.4689659246382039,9,30,622,191,0,1,1
8.515916784112935,0.2783169105396085,8,20,445,205,0,5,0
25.97252602587155,0.1663062103615935,4,0,331,209,1,5,0
7.455741123201991,0.4753165629704803,13,1,308,206,0,3,1
15.404337172247498,0.44137831476317535,6,44,784,198,0,2,1
14.180933594607502,0.19014034409498426,6,50,175,198,0,4,0
11.522441498303882,0.23539721265114844,5,56,80,205,1,6,1
1.174344866737897,0.05764612370066934,9,3,889,206,1,6,0
27.174457975992222,0.5264624758088473,8,14,103,202,1,3,0
2.7379009688633253,0.5161299505225585,9,10,533,233,1,5,0
3.625809071377436,0.22674584977484552,5,22,382,184,0,0,1
14.625496393997835,0.17969463761189938,10,51,173,201,0,6,1
8.025206422857138,0.24977633602736257,12,48,793,191,1,0,0
2.016843086574596,0.41831052558091775,4,55,249,208,1,3,1
13.008756025572582,0.2850094525182177,11,27,842,197,1,2,0
11.197833762194866,0.710820857242908,3,17,282,196,0,0,1
17.03216947779631,0.14106068809997108,8,42,811,223,0,4,0
9.25188039942612,0.18027900732823937,5,32,745,204,1,5,0
7.811498614409541,0.15696120662399413,5,57,684,195,0,4,1
17.551563517509152,0.1435019270239979,5,11,433,209,1,3,0
7.368570432715018,0.31815654180905073,5,58,870,196,0,5,1
15.77127154702393,0.503056011722783,7,53,651,200,1,4,1
10.71896326938192,0.31446319450312393,9,52,90,196,0,8,0
9.691480511540025,0.25779973801289324,5,9,973,222,1,3,0
21.53134020327183,0.5078654379427807,5,10,422,190,1,2,0
12.362693754322855,0.16356818302228857,14,17,740,217,0,4,0
2.5310545528340853,0.36123915663177686,11,38,36,195,0,6,1
12.646709322663838,0.24858818185254028,9,19,770,183,1,5,0
15.12642191361086,0.09564474181895197,6,2,237,207,1,4,0
3.3915042043161776,0.02742043423208416,7,13,133,191,1,5,0
14.968133134797801,0.5161242936232031,9,33,140,213,1,2,0
9.57752199057234,0.4665039732080116,5,27,90,181,1,5,1
6.459337029110806,0.050219671638357354,8,48,662,201,1,2,0
13.127162830815056,0.33530677453497326,8,4,229,193,0,2,0
19.492897185354288,0.43777093126585753,8,56,477,225,0,1,1
9.490168308182895,0.3520859770517318,9,4,718,180,0,4,0
5.47550544247008,0.46175034560391987,8,18,279,194,1,1,0
14.98604955193782,0.3242857829688646,3,54,858,200,0,1,1
9.174440729041512,0.13491983407274322,6,36,855,182,1,3,0
6.916300016196676,0.21855188238382584,5,25,373,188,0,2,0
17.655655696846235,0.12642490384469546,8,4,627,222,0,3,0
19.082459792533747,0.2667378255202685,15,10,171,187,0,3,0
17.785548050603225,0.029779828256418645,8,42,351,205,1,3,0
9.872855912192364,0.313271986485344,7,3,591,197,0,2,0
3.286350795012133,0.310963131949902,6,32,772,207,0,3,0
8.000224117265455,0.5132041899591414,5,0,101,219,0,0,0
5.408745788426363,0.27935296613476407,8,24,546,203,0,3,1
8.584063045761566,0.26866902405514753,7,42,232,200,1,4,1
8.481323843593778,0.10603430961567144,10,0,970,201,1,3,0
10.188918804826098,0.4398956334073067,4,57,483,200,1,2,1
8.669966510149969,0.1418735994339693,10,4,876,182,1,3,0
0.0,0.474899416820171,7,39,633,216,0,3,1
12.859717638164353,0.27969311132772706,11,23,54,220,0,2,1
28.213837167055352,0.18427068283978196,8,54,878,181,1,0,0
13.431057072042865,0.37893315413561035,6,59,47,197,0,3,1
17.088723958204007,0.1436924846752395,10,27,264,202,1,6,0
8.141202359061264,0.42218347128290096,9,25,200,181,0,5,0
6.786158489944991,0.42569574313525166,9,56,33,194,1,1,1
10.244960466236163,0.1992131689776257,9,5,212,173,1,2,1
13.48216128559207,0.1404806431744387,5,17,582,204,1,1,0
3.5572453155228807,0.196245940961842,9,54,993,210,1,2,0
13.630705140633735,0.3505679355087432,5,28,283,200,1,7,0
3.7045667851290283,0.2125209132973941,13,3,111,197,1,5,1
4.868387778833837,0.3340971591842438,5,36,421,180,0,3,1
23.08793911774382,0.09377868017736603,8,28,578,191,1,2,0
12.249416012759772,0.17710987586378923,5,6,244,214,0,2,0
4.7416099795861335,0.668617898318818,3,57,865,208,1,3,1
13.504792178519802,0.1602541287432904,8,10,689,183,0,2,0
5.229406042537974,0.1703760989406006,11,20,684,175,0,5,0
11.455629939948725,0.203877946149922,11,12,809,193,0,3,0
19.360043926112986,0.3601650140131241,7,54,711,205,0,5,0
11.106149742293002,0.08807730082014165,3,33,352,202,0,3,1
14.96247499727054,0.06385510773564528,10,58,521,204,0,2,0
4.5401396877530535,0.2343232134915896,12,32,856,206,0,3,0
1.8595707615606614,0.2318490340779756,15,1,90,203,0,4,0
19.29978097921465,0.45879314664441756,7,35,388,192,1,5,1
6.47314361264644,0.34230437261626784,8,17,306,205,1,2,0
12.398943729629348,0.1605437554144176,10,52,678,184,0,1,0
15.507120213799546,0.27797707080875034,10,55,176,196,1,5,1
6.9577740825937475,0.30454282046618514,13,47,69,196,1,5,1
25.01596995490985,0.7755095811411268,5,9,791,223,1,2,0
18.23528759138552,0.30748961681429315,10,34,854,225,0,2,0
15.23595226760164,0.3161828449868271,8,26,839,179,0,7,0
7.037328182472286,0.25367449234026757,5,25,57,205,1,2,0
24.504163107354064,0.056138733198822045,6,16,862,203,1,1,0
9.157255881840811,0.2495301329960326,9,5,882,185,1,5,0
13.16553510062631,0.20824129517759127,8,13,931,187,1,3,0
13.266094654042082,0.10097702312051436,7,32,643,200,1,3,1
21.36401436595249,0.4287777370153462,6,35,993,176,0,2,1
13.110503744828883,0.4657574793898814,12,5,566,192,0,2,0
7.110545040222019,0.254953429401473,10,8,151,183,0,1,0
7.242382677370009,0.1282946110751171,5,45,940,195,0,4,1
6.296917279598957,0.40647175218073994,11,46,863,202,0,3,0
16.993948921997635,0.3006510285227053,10,8,912,212,1,1,0
18.112819053334658,0.4609947567458315,9,15,716,201,0,4,0
12.499610160072626,0.37159722724374267,6,45,66,195,1,3,1
21.895776426515646,0.32699995660488296,11,54,322,187,0,4,1
14.500170903164308,0.021098927105120912,6,39,114,211,1,3,0
20.695425621454138,0.1598680325241548,3,16,910,228,0,3,0
21.264760947508513,0.26531533746447217,6,15,60,202,1,4,0
8.43457397534921,0.1411159917401258,7,58,775,205,0,2,1
7.339026036548858,0.40572418230618973,4,5,970,200,0,3,0
3.6512587475210196,0.1601407793980033,6,41,248,188,1,1,1
2.5505033881218004,0.2987520539683831,4,45,835,183,1,2,0
8.187823824194277,0.48909651428279277,3,38,718,196,0,1,1
10.852104948092187,0.367621621044149,5,26,242,200,1,1,0
17.052752319036856,0.35940756222871495,8,31,324,219,1,1,0
7.828265538896304,0.6412272293875767,6,28,526,203,1,4,1
12.454689508977458,0.36381639224887025,13,34,259,212,0,4,1
8.197985313696847,0.11921225056506331,10,57,864,207,0,3,1
6.838887280918108,0.11310384674058514,9,42,472,178,0,2,0
13.72063427430853,0.25557650561136563,12,45,758,195,1,5,1
6.743135183765548,0.07585519616105608,6,3,460,187,1,5,0
2.7835658756749844,0.030645328792055792,7,18,478,191,1,1,0
6.010631092687058,0.36801392289275725,4,1,965,199,1,5,0
20.40271121993923,0.5049275527832994,5,29,848,190,0,1,0
13.180519054225229,0.515063739240295,7,24,124,214,1,1,0
13.81184059518016,0.10363515434925921,7,51,319,192,0,2,0
15.661670724309378,0.2602764909979837,14,56,449,190,1,3,0
3.4097258046168992,0.44014243317593843,8,52,978,201,0,3,1
9.733565888361689,0.4672130570670206,10,31,201,220,1,0,1
10.555009326582397,0.20284423616113528,13,16,226,210,0,2,1
8.811948290032333,0.40886239207300556,4,48,377,196,0,1,1
4.490261674824365,0.28144899316370736,7,53,451,209,1,4,1
14.99657296738252,0.21038744504112095,4,55,833,198,1,4,0
8.357381179464205,0.19770485990328732,9,34,915,189,0,3,1
